id,title,type,publication_year,issue,volume,chapter,publication_venue,venue_type,publisher,event
doi:10.1016/j.websem.2021.100655,Crossing The Chasm Between Ontology Engineering And Application Development: A Survey,journal-article,2021,,70,,Journal Of Web Semantics,journal,crossref:78,
doi:10.1007/s10115-017-1100-y,Core Techniques Of Question Answering Systems Over Knowledge Bases: A Survey,journal-article,2017,3,55,,Knowledge And Information Systems,journal,crossref:297,
doi:10.1016/j.websem.2014.03.003,Api-Centric Linked Data Integration: The Open Phacts Discovery Platform Case Study,journal-article,2014,,29,,Journal Of Web Semantics,journal,crossref:78,
doi:10.1093/nar/gkz997,The Monarch Initiative In 2019: An Integrative Data And Analytic Platform Connecting Phenotypes To Genotypes Across Species,journal-article,2019,D1,48,,Nucleic Acids Research,journal,crossref:286,
doi:10.3390/publications7030050,Dras-Tic Linked Data: Evenly Distributing The Past,journal-article,2019,3,7,,Publications,journal,crossref:1968,
doi:10.1017/s0269888920000065,"Ontology Engineering Methodologies For The Evolution Of Living And Reused Ontologies: Status, Trends, Findings And Recommendations",journal-article,2020,,35,,The Knowledge Engineering Review,journal,crossref:56,
doi:10.3390/info11030129,The Zaragoza’S Knowledge Graph: Open Data To Harness The City Knowledge,journal-article,2020,3,11,,Information,journal,crossref:1968,
doi:10.1007/s00778-018-0528-3,Summarizing Semantic Graphs: A Survey,journal-article,2018,3,28,,The Vldb Journal,journal,crossref:297,
doi:10.21105/joss.02731,Grlc: The Git Repository Linked Data Api Constructor.,journal-article,2021,67,6,,Journal Of Open Source Software,journal,crossref:8722,
doi:10.1016/j.websem.2014.06.002,Sina: Semantic Interpretation Of User Queries For Question Answering On Interlinked Data,journal-article,2015,,30,,Journal Of Web Semantics,journal,crossref:78,
doi:10.1007/s10115-019-01401-x,Structured Query Construction Via Knowledge Graph Embedding,journal-article,2019,5,62,,Knowledge And Information Systems,journal,crossref:297,
doi:10.1007/978-3-030-30793-6_22,Difficulty-Controllable Multi-Hop Question Generation From Knowledge Graphs,proceedings-paper,2019,,,,Lecture Notes In Computer Science - The Semantic Web – Iswc 2019,proceedings,crossref:297,testevent
doi:10.1007/978-3-030-33220-4_25,Quant - Question Answering Benchmark Curator,book-chapter,2019,,,1,Lecture Notes In Computer Science - Semantic Systems. The Power Of Ai And Knowledge Graphs,book,crossref:297,
doi:10.1080/17538947.2020.1738568,Geo-Analytical Question-Answering With Gis,journal-article,2020,1,14,,International Journal Of Digital Earth,journal,crossref:301,
doi:10.1007/s10462-020-09826-5,A Short Survey On End-To-End Simple Question Answering Systems,journal-article,2020,7,53,,Artificial Intelligence Review,journal,crossref:297,
doi:10.1007/978-3-030-49461-2_25,Qanswer Kg: Designing A Portable Question Answering System Over Rdf Data,,2020,,,1,The Semantic Web - Lecture Notes In Computer Science,book,crossref:297,
doi:10.1007/s10462-020-09866-x,Survey On Evaluation Methods For Dialogue Systems,journal-article,2020,1,54,,Artificial Intelligence Review,journal,crossref:297,
doi:10.1007/s10796-020-10035-2,An Overview Of Utilizing Knowledge Bases In Neural Networks For Question Answering,journal-article,2020,5,22,,Information Systems Frontiers,journal,crossref:297,
doi:10.1007/978-3-030-60276-5_25,Legal Tech: Documents’ Validation Method Based On The Associative-Ontological Approach,book-chapter,2020,,,1,Speech And Computer - Lecture Notes In Computer Science,book,crossref:297,
